종류,이름,1추,2추,3추,4추,5추,공격력
한손검,세이버,201,157,119,87,59,326
한손도끼,엑스,201,157,119,87,59,326
한손둔기,해머,201,157,119,87,59,326
두손검,투핸드소드,210,164,124,90,62,340
두손도끼,투핸드엑스,210,164,124,90,62,340
두손둔기,투핸드해머,210,164,124,90,62,340
창,스피어,210,164,124,90,62,340
폴암,폴암,187,146,111,81,55,304
데스페라도,데스페라도,210,164,124,90,62,340
건틀렛리볼버,엘라하,157,123,93,68,46,255
튜너,튜너,210,164,124,90,62,340
장검,창세검,210,164,124,90,62,340
완드,완드,246,192,146,106,72,400
스태프,스태프,250,195,148,108,74,406
샤이닝로드,샤이닝로드,246,192,146,106,72,400
ESP리미터,ESP리미터,246,192,146,106,72,400
매직건틀렛,매직건틀렛,246,192,146,106,72,400
활,보우,196,153,116,84,58,318
석궁,크로스보우,201,157,119,87,59,326
에인션트보우,에인션트보우,196,153,116,84,58,318
듀얼보우건,듀얼보우건,196,153,116,84,58,318
브레스슈터,브레스슈터,196,153,116,84,58,318
아대,가즈,106,83,63,46,31,172
단검,대거,196,153,116,84,58,318
케인,케인,201,157,119,87,59,326
체인,체인,196,153,116,84,58,318
부채,창세선,196,153,116,84,58,318
차크람,이클립스,196,153,116,84,58,318
에너지소드,에너지체인,157,123,93,68,46,255
너클,클로,157,123,93,68,46,255
건,피스톨,154,120,91,66,45,249
핸드캐논,시즈건,215,167,127,92,63,348
소울슈터,소울슈터,157,123,93,68,46,255
